date,event_count,goldstein_weighted_sum,avg_goldstein,avg_tone,article_count,corridor
2026-06-29,,,,-2.36266981689309,1,hormuz
2026-06-30,,,,-1.84080449974433,1,hormuz
2026-07-01,,,,-1.17647058823529,1,hormuz
2026-07-05,,,,-1.96592398427261,1,hormuz
2026-07-07,,,,-2.043557721652926,5,hormuz
2026-07-08,,,,-3.348802210754165,6,hormuz
2026-07-09,,,,-3.5815309681780367,3,hormuz
2026-07-10,,,,-4.36241610738255,1,hormuz
2026-07-11,,,,-2.83505154639175,1,hormuz
2026-07-13,,,,-0.505050505050505,1,hormuz
2026-07-15,5,-47.2,-9.440000000000001,-4.0510591445530135,3,hormuz
2026-07-16,,,,-0.033343606541472615,15,hormuz
2026-07-17,,,,-2.645246280733261,2,hormuz
2026-07-18,1,-10.0,-10.0,-4.17900027632868,2,hormuz
2026-07-20,,,,-1.25490196078431,1,hormuz
2026-07-21,3,-30.0,-10.0,-5.160694134317925,2,hormuz
2026-07-22,6,-60.0,-10.0,-2.604502063275513,3,hormuz
2026-07-24,1,-10.0,-10.0,-4.17972831765935,3,hormuz
2026-07-26,,,,-0.130718954248366,1,hormuz
2026-07-27,,,,-4.80332829046899,1,hormuz
2026-07-28,,,,-2.00729927007299,1,hormuz
2026-07-29,,,,-3.0655737704918,1,hormuz
2026-08-02,,,,-2.97297297297297,1,hormuz
2026-08-03,2,-20.0,-10.0,-4.00890868596882,1,hormuz
2026-08-05,,,,-2.28571428571429,2,hormuz
2026-08-08,,,,-1.83206106870229,1,hormuz
2026-08-11,2,-14.5,-7.25,-2.71066588096641,1,hormuz
2026-08-17,,,,-4.32868672046955,1,hormuz
2026-08-18,1,-10.0,-10.0,-5.052586240209607,7,hormuz
2026-08-20,,,,0.826446280991735,1,hormuz
2026-08-22,,,,-2.86760219646126,3,hormuz
2023-09-01,1,-7.2,-7.2,-0.14914404468266818,147,red_sea
2023-09-02,1,-10.0,-10.0,0.07875911263489685,96,red_sea
2023-09-03,4,-40.0,-10.0,0.5865319288481324,112,red_sea
2023-09-04,1,-10.0,-10.0,-0.12245532192951941,168,red_sea
2023-09-05,4,-34.2,-8.549999999999999,-0.774289302856968,164,red_sea
2023-09-06,2,-12.2,-6.1,0.5389183738768106,161,red_sea
2023-09-07,,,,0.8489353470468199,138,red_sea
2023-09-08,,,,2.2753317130808175,196,red_sea
2023-09-09,1,-10.0,-10.0,2.4591021554791017,189,red_sea
2023-09-10,2,-17.2,-8.6,1.7323033836312054,200,red_sea
2023-09-11,2,-20.0,-10.0,1.5782328232980163,209,red_sea
2023-09-12,2,-20.0,-10.0,0.5991847542297207,142,red_sea
2023-09-13,1,-6.5,-6.5,-0.48626452768469053,328,red_sea
2023-09-14,6,-59.0,-9.833333333333334,-0.10274540875499685,223,red_sea
2023-09-15,2,-17.2,-8.6,-0.7297464905555526,145,red_sea
2023-09-16,3,-29.2,-9.733333333333333,-1.512669870183433,114,red_sea
2023-09-17,3,-23.0,-7.666666666666666,-2.0081879500784,132,red_sea
2023-09-18,5,-50.0,-10.0,0.42625826611689477,165,red_sea
2023-09-19,17,-141.5,-8.323529411764707,0.35074372876448734,166,red_sea
2023-09-20,5,-45.0,-9.0,0.8028945901546518,146,red_sea
2023-09-21,6,-35.2,-5.866666666666667,1.8571892369895886,165,red_sea
2023-09-22,1,-9.0,-9.0,1.2145262253995008,162,red_sea
2023-09-23,,,,2.119557246093941,117,red_sea
2023-09-24,,,,0.4045889953789194,150,red_sea
2023-09-25,,,,1.3189522055263634,181,red_sea
2023-09-26,,,,1.1236824211389058,181,red_sea
2023-09-27,3,-27.5,-9.166666666666666,-0.38448552456494933,186,red_sea
2023-09-28,2,-20.0,-10.0,1.2719091973001553,168,red_sea
2023-09-29,1,-10.0,-10.0,1.167684368424156,130,red_sea
2023-09-30,2,-20.0,-10.0,0.7456368058566557,81,red_sea
2023-10-01,,,,1.5777576638951167,116,red_sea
2023-10-02,1,-10.0,-10.0,1.462452796148358,143,red_sea
2023-10-03,,,,1.3573328187153457,136,red_sea
2023-10-04,8,-73.5,-9.1875,0.4282898668167242,187,red_sea
2023-10-05,5,-50.0,-10.0,0.0542728546363328,150,red_sea
2023-10-06,,,,0.30927059910543037,107,red_sea
2023-10-07,1,-10.0,-10.0,0.510783557458867,132,red_sea
2023-10-08,2,-20.0,-10.0,-1.0799818025490475,192,red_sea
2023-10-09,4,-36.2,-9.05,-1.239916067238473,273,red_sea
2023-10-10,10,-86.1,-8.61,-0.10706536255553101,218,red_sea
2023-10-11,1,-10.0,-10.0,0.7903662499893026,130,red_sea
2023-10-12,8,-78.0,-9.75,-0.04809969099195782,213,red_sea
2023-10-13,6,-58.0,-9.666666666666666,0.8695973999283666,161,red_sea
2023-10-14,,,,1.7279398670664026,168,red_sea
2023-10-15,,,,-2.1179375265359432,234,red_sea
2023-10-16,4,-40.0,-10.0,-0.3959876684788469,187,red_sea
2023-10-17,11,-87.0,-7.909090909090909,-0.09635045433518663,321,red_sea
2023-10-18,17,-155.0,-9.117647058823529,-0.45821330424052575,305,red_sea
2023-10-19,28,-265.79999999999995,-9.492857142857144,-2.563407566271939,427,red_sea
2023-10-20,85,-833.9,-9.810588235294118,-4.221875977592036,857,red_sea
2023-10-21,30,-299.5,-9.983333333333333,-2.9269827986699406,249,red_sea
2023-10-22,24,-232.2,-9.675,-2.4688996649628288,324,red_sea
2023-10-23,43,-422.2,-9.81860465116279,-2.122071025868061,401,red_sea
2023-10-24,10,-93.0,-9.3,-1.9428686071019627,506,red_sea
2023-10-25,5,-45.0,-9.0,-2.0317860914315906,283,red_sea
2023-10-26,11,-99.1,-9.00909090909091,-2.3414774082060554,233,red_sea
2023-10-27,60,-569.0999999999999,-9.485000000000001,-5.095567654993532,1238,red_sea
2023-10-28,15,-147.2,-9.813333333333334,-3.7140039930309086,359,red_sea
2023-10-29,7,-69.0,-9.857142857142858,-1.8513873522818598,200,red_sea
2023-10-30,7,-63.7,-9.1,-2.3497969690636293,382,red_sea
2023-10-31,61,-597.9,-9.801639344262297,-4.842338997889034,1188,red_sea
2023-11-01,110,-1065.9,-9.690000000000001,-4.4346273309087465,1285,red_sea
2023-11-02,16,-142.2,-8.887500000000001,-2.8437720380147034,337,red_sea
2023-11-03,4,-31.0,-7.75,-0.9981327336901455,315,red_sea
2023-11-04,4,-40.0,-10.0,-1.5029869677485923,162,red_sea
2023-11-05,7,-70.0,-10.0,-0.5710839840241138,173,red_sea
2023-11-06,12,-115.0,-9.583333333333332,-1.3665434126135092,356,red_sea
2023-11-07,9,-83.7,-9.3,-2.8453344930424795,360,red_sea
2023-11-08,8,-79.5,-9.9375,-1.3272686703792769,231,red_sea
2023-11-09,32,-310.0,-9.687500000000002,-2.833536066032985,428,red_sea
2023-11-10,29,-272.1,-9.382758620689655,-3.557452611183908,817,red_sea
2023-11-11,5,-50.0,-10.0,-2.4652793284336267,262,red_sea
2023-11-12,7,-69.0,-9.857142857142858,-1.325131914795676,235,red_sea
2023-11-13,6,-44.2,-7.366666666666666,-0.7283315618351524,248,red_sea
2023-11-14,19,-189.5,-9.973684210526315,-1.9161721676890429,267,red_sea
2023-11-15,40,-396.09999999999997,-9.9025,-3.1535507825622453,467,red_sea
2023-11-16,36,-349.8,-9.716666666666667,-1.6392112125193714,289,red_sea
2023-11-17,16,-160.0,-10.0,-0.5704185008089062,185,red_sea
2023-11-18,6,-60.0,-10.0,-0.12378980734290623,112,red_sea
2023-11-19,38,-367.0,-9.657894736842108,-3.4814494799588123,1016,red_sea
2023-11-20,72,-651.6,-9.049999999999997,-4.320628866828558,1336,red_sea
2023-11-21,38,-360.6,-9.489473684210527,-3.551055436710076,723,red_sea
2023-11-22,29,-269.0,-9.275862068965518,-2.9923537652329935,437,red_sea
2023-11-23,80,-780.9,-9.761250000000004,-4.2445888369778855,687,red_sea
2023-11-24,19,-188.0,-9.894736842105264,-1.330476096745328,221,red_sea
2023-11-25,8,-75.2,-9.4,-4.386819658805376,603,red_sea
2023-11-26,23,-217.0,-9.43478260869565,-3.773577241699673,541,red_sea
2023-11-27,43,-388.2,-9.027906976744186,-3.3383257460603644,737,red_sea
2023-11-28,17,-143.8,-8.458823529411763,-1.310062765494593,303,red_sea
2023-11-29,28,-271.0,-9.678571428571429,-1.5929678389931674,410,red_sea
2023-11-30,52,-482.1,-9.271153846153846,-2.407008840640418,624,red_sea
2023-12-01,16,-150.0,-9.375,-0.46590090686080965,307,red_sea
2023-12-02,3,-30.0,-10.0,0.47102633841833597,174,red_sea
2023-12-03,201,-1959.9,-9.750746268656718,-5.307442543267122,1743,red_sea
2023-12-04,248,-2431.7,-9.805241935483872,-4.766613620234516,2586,red_sea
2023-12-05,97,-938.8,-9.678350515463917,-2.784556423926992,977,red_sea
2023-12-06,75,-726.7,-9.689333333333336,-3.232199946782043,702,red_sea
2023-12-07,69,-602.6999999999999,-8.734782608695651,-2.851049651083656,679,red_sea
2023-12-08,25,-243.0,-9.72,-1.990361158269022,477,red_sea
2023-12-09,26,-237.0,-9.115384615384615,-3.0897895743940658,421,red_sea
2023-12-10,83,-801.4,-9.655421686746989,-5.016106792521316,958,red_sea
2023-12-11,63,-598.5,-9.500000000000002,-3.0794969668694634,556,red_sea
2023-12-12,101,-977.4000000000001,-9.67722772277228,-4.15012766024523,1531,red_sea
2023-12-13,98,-938.4000000000001,-9.575510204081635,-3.8430340942839267,927,red_sea
2023-12-14,75,-691.4,-9.218666666666666,-3.194667556948245,952,red_sea
2023-12-15,170,-1560.6000000000004,-9.179999999999998,-4.433103857896758,2217,red_sea
2023-12-16,292,-2821.4,-9.662328767123286,-4.6133739966002265,1871,red_sea
2023-12-17,213,-2065.3,-9.696244131455401,-4.359815134616024,1345,red_sea
2023-12-18,260,-2524.5,-9.709615384615384,-3.5465159898242415,3332,red_sea
2023-12-19,382,-3666.8,-9.598952879581152,-3.226210321388807,5228,red_sea
2023-12-20,203,-1926.8000000000004,-9.491625615763548,-2.9904119167641108,3271,red_sea
2023-12-21,136,-1288.1,-9.471323529411768,-2.563577746994205,2745,red_sea
2023-12-22,177,-1690.4,-9.550282485875705,-2.622277103905698,2252,red_sea
2023-12-23,132,-1258.8,-9.536363636363635,-3.3095366567042404,1756,red_sea
2023-12-24,255,-2430.7,-9.532156862745095,-3.8863078045774713,1891,red_sea
2023-12-25,140,-1368.2,-9.772857142857145,-2.8496680127732827,1371,red_sea
2023-12-26,175,-1671.4,-9.550857142857138,-4.98834085825726,3425,red_sea
2023-12-27,236,-2283.0,-9.673728813559322,-3.514748266268395,2564,red_sea
2023-12-28,109,-1064.5,-9.766055045871562,-3.097117781523823,1803,red_sea
2023-12-29,130,-1248.0,-9.599999999999998,-3.3859218526076327,1933,red_sea
2023-12-30,91,-886.5,-9.741758241758241,-2.972175150130416,864,red_sea
2023-12-31,375,-3683.4000000000005,-9.822400000000004,-4.879807400222678,3020,red_sea
2024-01-01,296,-2876.2,-9.716891891891892,-4.069057050252755,2186,red_sea
2024-01-02,242,-2329.0000000000005,-9.623966942148764,-3.3279747519172154,2690,red_sea
2024-01-03,224,-2161.3,-9.648660714285715,-3.9057291372757352,2688,red_sea
2024-01-04,211,-2021.7,-9.581516587677722,-4.282518521225326,3363,red_sea
2024-01-05,181,-1736.4,-9.593370165745855,-3.842023881255449,2485,red_sea
2024-01-06,88,-841.0,-9.556818181818183,-4.104729745729615,2576,red_sea
2024-01-07,74,-719.5,-9.722972972972972,-2.8064526081185512,1609,red_sea
2024-01-08,117,-1095.1,-9.359829059829059,-3.1385386042034855,2264,red_sea
2024-01-09,112,-1088.4,-9.717857142857145,-2.9180202896343226,1776,red_sea
2024-01-10,283,-2721.1000000000004,-9.615194346289753,-4.396777451298546,3244,red_sea
2024-01-11,297,-2791.2,-9.397979797979797,-3.700869651631053,3576,red_sea
2024-01-12,837,-7959.299999999998,-9.509318996415772,-4.535857939455057,12360,red_sea
2024-01-13,335,-3194.8,-9.536716417910444,-4.884084435860542,6149,red_sea
2024-01-14,170,-1603.0,-9.429411764705884,-3.98166789235773,2876,red_sea
2024-01-15,443,-4298.0,-9.702031602708796,-3.720987965964821,5317,red_sea
2024-01-16,349,-3349.8,-9.598280802292265,-3.8128634262938337,5837,red_sea
2024-01-17,261,-2500.4,-9.580076628352492,-4.185265863541274,5630,red_sea
